2026-02-28T15:59:49+07:00 | BID | Phase-T | pipeline.py | LCTT | 40 periods | SUCCESS | Normalized 1640 rows, mapped 85.4%
2026-02-28T15:59:52+07:00 | BID | Phase-T | pipeline.py | NOTE | 40 periods | SUCCESS | Normalized 6280 rows, mapped 0.0%
2026-02-28T16:00:08+07:00 | BVH | Phase-T | pipeline.py | CDKT | 40 periods | SUCCESS | Normalized 4880 rows, mapped 71.3%
2026-02-28T16:00:11+07:00 | BVH | Phase-T | pipeline.py | KQKD | 40 periods | SUCCESS | Normalized 1000 rows, mapped 60.0%
2026-02-28T16:00:13+07:00 | BVH | Phase-T | pipeline.py | LCTT | 40 periods | SUCCESS | Normalized 1640 rows, mapped 85.4%
2026-02-28T16:00:15+07:00 | BVH | Phase-T | pipeline.py | NOTE | 40 periods | SUCCESS | Normalized 6280 rows, mapped 0.0%
2026-02-28T16:00:24+07:00 | CTG | Phase-T | pipeline.py | CDKT | 40 periods | SUCCESS | Normalized 4880 rows, mapped 71.3%
2026-02-28T16:00:27+07:00 | CTG | Phase-T | pipeline.py | KQKD | 40 periods | SUCCESS | Normalized 1000 rows, mapped 60.0%
2026-02-28T16:00:29+07:00 | CTG | Phase-T | pipeline.py | LCTT | 40 periods | SUCCESS | Normalized 1640 rows, mapped 85.4%
2026-02-28T16:00:31+07:00 | CTG | Phase-T | pipeline.py | NOTE | 40 periods | SUCCESS | Normalized 6280 rows, mapped 0.0%
2026-02-28T16:00:40+07:00 | FPT | Phase-T | pipeline.py | CDKT | 40 periods | SUCCESS | Normalized 4880 rows, mapped 71.3%
2026-02-28T16:00:42+07:00 | FPT | Phase-T | pipeline.py | KQKD | 40 periods | SUCCESS | Normalized 1000 rows, mapped 60.0%
2026-02-28T16:00:44+07:00 | FPT | Phase-T | pipeline.py | LCTT | 40 periods | SUCCESS | Normalized 1640 rows, mapped 85.4%
2026-02-28T16:00:47+07:00 | FPT | Phase-T | pipeline.py | NOTE | 40 periods | SUCCESS | Normalized 6280 rows, mapped 0.0%
2026-02-28T16:00:55+07:00 | GAS | Phase-T | pipeline.py | CDKT | 40 periods | SUCCESS | Normalized 4880 rows, mapped 71.3%
2026-02-28T16:00:57+07:00 | GAS | Phase-T | pipeline.py | KQKD | 40 periods | SUCCESS | Normalized 1000 rows, mapped 60.0%
2026-02-28T16:00:59+07:00 | GAS | Phase-T | pipeline.py | LCTT | 40 periods | SUCCESS | Normalized 1640 rows, mapped 85.4%
2026-02-28T16:01:02+07:00 | GAS | Phase-T | pipeline.py | NOTE | 39 periods | SUCCESS | Normalized 6123 rows, mapped 0.0%
2026-02-28T16:01:10+07:00 | GVR | Phase-T | pipeline.py | CDKT | 39 periods | SUCCESS | Normalized 4758 rows, mapped 71.3%
2026-02-28T16:01:13+07:00 | GVR | Phase-T | pipeline.py | KQKD | 38 periods | SUCCESS | Normalized 950 rows, mapped 60.0%
2026-02-28T16:01:15+07:00 | GVR | Phase-T | pipeline.py | LCTT | 38 periods | SUCCESS | Normalized 1558 rows, mapped 85.4%
2026-02-28T16:01:18+07:00 | GVR | Phase-T | pipeline.py | NOTE | 38 periods | SUCCESS | Normalized 5966 rows, mapped 0.0%
2026-02-28T16:01:26+07:00 | HDB | Phase-T | pipeline.py | CDKT | 40 periods | SUCCESS | Normalized 4880 rows, mapped 71.3%
2026-02-28T16:01:29+07:00 | HDB | Phase-T | pipeline.py | KQKD | 40 periods | SUCCESS | Normalized 1000 rows, mapped 60.0%
